Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,User
0,Sun Jul 29 22:00:02 +0000 2018,1,0,0,"On this day in 1958, President Dwight D. Eisenhower signed the National Aeronautics and Space Act, which establisheâ€_ https://t.co/oKyQTnxcIt",33,@CNN
0,Sun Jul 29 21:50:04 +0000 2018,1,0,0,"Nazi images, including a swastika, were discovered Saturday morning painted on a structure that is part of a Jewishâ€_ https://t.co/qV57ew3Ac4",34,@CNN
0.4118,Sun Jul 29 21:40:01 +0000 2018,0.761,0.082,0.156,"Asking a woman about her work-life balance can be problematic, but she should use the opportunity to discuss the neâ€_ https://t.co/cC7IXZTQwb",35,@CNN
0.3182,Sun Jul 29 21:30:00 +0000 2018,0.887,0,0.113,This NASA animation shows the dramatic increase of near-Earth objects. See how many asteroids and comets have comeâ€_ https://t.co/F4wJSgwAi1,36,@CNN
-0.3182,Sun Jul 29 21:20:06 +0000 2018,0.766,0.145,0.089,"Trump lawyer Rudy Giuliani once praised Michael Cohen as 'honest,' but now says Cohen has 'lied all his life'â€_ https://t.co/Bt349Fd9D8",37,@CNN
-0.8316,Sun Jul 29 21:05:59 +0000 2018,0.709,0.291,0,A German cruise line is facing outrage after one of its employees shot and killed a wild polar bear in Norway afterâ€_ https://t.co/kmYQZLtUNe,38,@CNN
-0.4215,Sun Jul 29 20:51:22 +0000 2018,0.833,0.167,0,President Trump's 2020 campaign denies reports that it is producing flags in China https://t.co/P5rFSU4LAq https://t.co/llzTLssJXI,39,@CNN
-0.34,Sun Jul 29 20:40:06 +0000 2018,0.888,0.112,0,The monstrous Carr Fire in Northern California has doubled in size this weekend. Authorities say at least 12 peopleâ€_ https://t.co/XSG8S7YyTF,40,@CNN
0,Sun Jul 29 20:40:00 +0000 2018,1,0,0,"""The Brady Bunch"" house, the classic split-level scene for nearly every episode of the hit TV show, is now on the mâ€_ https://t.co/OZ0ZdLw13e",41,@CNN
0.3182,Sun Jul 29 20:30:00 +0000 2018,0.897,0,0.103,"Listen to the soothing sounds of the sun. Scientists mapped vibrations that form the ""low, pulsing hum of our star'â€_ https://t.co/lrrvtnZK0K",42,@CNN
0,Sun Jul 29 20:20:05 +0000 2018,1,0,0,Former President Barack Obama and first lady Michelle Obama were spotted dancing at a BeyoncÃ© and Jay-Z concert neaâ€_ https://t.co/VtJU8vkRfm,43,@CNN
-0.765,Sun Jul 29 20:10:09 +0000 2018,0.72,0.28,0,Palestinian teen activist Ahed Tamimi has been released from an Israeli prison after serving an 8-month prison sentâ€_ https://t.co/c2XsaRZGQ0,44,@CNN
0,Sun Jul 29 20:00:17 +0000 2018,1,0,0,There are 100 days to the midterm election. Here's what to watch: https://t.co/64dpmcDvQ7 https://t.co/loNDIF3yfI,45,@CNN
0,Sun Jul 29 19:55:04 +0000 2018,1,0,0,"2018 is on pace to be the fourth hottest year on record, according to data from the National Oceanic and Atmospheriâ€_ https://t.co/DGbncI4Pk9",46,@CNN
-0.3818,Sun Jul 29 19:48:30 +0000 2018,0.867,0.133,0,President Trump threatens to push the government into shutdown ahead of the coming appropriations deadline if Congrâ€_ https://t.co/i63KxWcUMA,47,@CNN
-0.6597,Sun Jul 29 19:30:59 +0000 2018,0.707,0.293,0,"Who is Andrew Brunson, the detained American pastor central to the US-Turkey dispute https://t.co/jtUi6jrUfT https://t.co/RJ2Vfwy0Lf",48,@CNN
-0.6697,Sun Jul 29 19:18:50 +0000 2018,0.809,0.191,0,"Nikolai Volkoff, the wrestler whose brash Soviet persona made him one of the most hated figures in professional wreâ€_ https://t.co/REWVlWdQwe",49,@CNN
0.2263,Sun Jul 29 19:02:15 +0000 2018,0.424,0.272,0.304,"A prominent neurologist collapses, sending her friends and colleagues on a frantic fight to save her life. A new epâ€_ https://t.co/MziHWkB6mg",50,@CNN
-0.34,Sun Jul 29 18:54:11 +0000 2018,0.876,0.124,0,"The fast-moving Carr Fire in Northern California has claimed the lives of a great-grandmother, two young children aâ€_ https://t.co/oHwvlBZZ0u",51,@CNN
0,Sun Jul 29 18:39:52 +0000 2018,1,0,0,Don't pack your bags for Mars just yet https://t.co/T2vDZkv45G https://t.co/ph2CB7Kz1O,52,@CNN
0,Sun Jul 29 18:25:52 +0000 2018,1,0,0,President Trump's attorney Rudy Giuliani says he wants the public to hear more of Michael Cohen's recordings as heâ€_ https://t.co/0u5WLD0fJH,53,@CNN
-0.3182,Sun Jul 29 18:10:00 +0000 2018,0.881,0.119,0,Former White House communications director Anthony Scaramucci says he disagrees with the way the White House reprimâ€_ https://t.co/TFFM7qMlur,54,@CNN
-0.4215,Sun Jul 29 18:00:08 +0000 2018,0.55,0.312,0.138,Police fire tear gas at protesters during state funeral for Ethiopia's Grand Dam engineer https://t.co/f8KZbVKwcA https://t.co/TY6msO1lsF,55,@CNN
0,Sun Jul 29 17:55:16 +0000 2018,1,0,0,Coke is raising soda prices because of aluminum tariffs https://t.co/DHmhml6y03 https://t.co/uBpxXGVvAB,56,@CNN
-0.4404,Sun Jul 29 17:40:03 +0000 2018,0.854,0.146,0,"20 times that Trump and his allies denied he knew of the 2016 Trump Tower meeting https://t.co/XvrpVu7CRo https://t.co/9ONriP5Lkp",57,@CNN
0.765,Sun Jul 29 17:29:04 +0000 2018,0.732,0,0.268,Sporting history was made on the Champs Elysees Sunday as Geraint Thomas became the first Welshman to win cycling'sâ€_ https://t.co/lQYOdtvP5O,58,@CNN
-0.6486,Sun Jul 29 17:18:00 +0000 2018,0.725,0.275,0,President Trumpâ€™s chief economic adviser Larry Kudlow on the criticism surrounding tariffs: â€œDonâ€™t blame Presidentâ€_ https://t.co/500k5oO8w2,59,@CNN
0.4522,Sun Jul 29 17:05:20 +0000 2018,0.871,0,0.129,This man built a floating bicycle so he could clean trash from a river in order to raise awareness about plastic poâ€_ https://t.co/s70T5FO2pZ,60,@CNN
-0.4215,Sun Jul 29 16:53:25 +0000 2018,0.823,0.177,0,Trump's 2020 campaign denies reports that it is producing flags in China https://t.co/OoiPiKjcFf https://t.co/FlJ4efPygH,61,@CNN
-0.3182,Sun Jul 29 16:40:53 +0000 2018,0.766,0.145,0.089,"Trump lawyer Rudy Giuliani once praised Michael Cohen as 'honest,' but now says Cohen has 'lied all his life'â€_ https://t.co/AuzdI38OLV",62,@CNN
0,Sun Jul 29 16:31:12 +0000 2018,1,0,0,What you need to know about 'stand your ground' laws https://t.co/ouj4Dp8ots https://t.co/cd2fY6FhNZ,63,@CNN
-0.5106,Sun Jul 29 16:16:39 +0000 2018,0.705,0.216,0.079,"The United Nations has verified 7,000 cases of children either killed or maimed in Syria's seven-year war, but saysâ€_ https://t.co/5DDdEc5z8S",64,@CNN
-0.765,Sun Jul 29 16:04:04 +0000 2018,0.72,0.28,0,Palestinian teen activist Ahed Tamimi has been released from an Israeli prison after serving an 8-month prison sentâ€_ https://t.co/AvPuJbaTDm,65,@CNN
0.6908,Sun Jul 29 15:54:15 +0000 2018,0.737,0,0.263,5 metrics that suggest Democrats are poised for big wins 100 days to the midterms | Analysis by @ForecasterEntenâ€_ https://t.co/SEzQTXjMmZ,66,@CNN
-0.8402,Sun Jul 29 15:40:05 +0000 2018,0.654,0.346,0,"A manhunt is underway for two suspects accused of killing three people and injuring seven others in New Orleans, thâ€_ https://t.co/CNYraRdA9T",67,@CNN
0,Sun Jul 29 15:31:32 +0000 2018,1,0,0,"On this day in 1958, President Dwight D. Eisenhower signed the National Aeronautics and Space Act, which establisheâ€_ https://t.co/TpVjqvFWso",68,@CNN
0,Sun Jul 29 15:15:10 +0000 2018,1,0,0,There are 100 days to the midterm election. Here's what to watch: https://t.co/yqi6ZX3a41 https://t.co/PgkWJY6vbC,69,@CNN
0,Sun Jul 29 15:01:14 +0000 2018,1,0,0,Civil rights icon and Georgia congressman Rep. John Lewis has been hospitalized but is expected to be released lateâ€_ https://t.co/Y8KpPUJefT,70,@CNN
0,Sun Jul 29 15:01:06 +0000 2018,1,0,0,A clinical trial run by UCLA is testing a potentially pioneering form of immunotherapy that could turn a patient'sâ€_ https://t.co/ILFbFlqJXL,71,@CNN
0,Sun Jul 29 14:56:11 +0000 2018,1,0,0,"2018 is on pace to be the fourth hottest year on record, according to data from the National Oceanic and Atmospheriâ€_ https://t.co/K6FMntJR1t",72,@CNN
-0.0258,Sun Jul 29 14:40:06 +0000 2018,0.595,0.204,0.201,Recep Tayyip Erdogan denies that Turkey has agreed to free a detained American pastor as part of a possible deal wiâ€_ https://t.co/iiiT1mdcfX,73,@CNN
0,Sun Jul 29 14:30:07 +0000 2018,1,0,0,A 12-year-old boy who can't speak wrote a book with his eyes https://t.co/GmvT6OSsUY https://t.co/t1w6FJR6iN,74,@CNN
-0.3818,Sun Jul 29 14:22:29 +0000 2018,0.867,0.133,0,President Trump threatens to push the government into shutdown ahead of the coming appropriations deadline if Congrâ€_ https://t.co/F4KsOZEbdv,75,@CNN
0.3182,Sun Jul 29 14:16:06 +0000 2018,0.881,0,0.119,What sparks your curiosity? See how Steve Jobs and other curious entrepreneurs revolutionized our world through tecâ€_ https://t.co/J3649I6KqG,76,@CNN
-0.1531,Sun Jul 29 14:00:13 +0000 2018,0.727,0.15,0.123,Palestinian teenage activist Ahed Tamimi has been freed from an Israeli prison after serving an eight-month prisonâ€_ https://t.co/KkXsei7Zl0,77,@CNN
0,Sun Jul 29 13:46:52 +0000 2018,1,0,0,The former mayor of New Orleans Mitch Landrieu says he is a â€œradical centristâ€ù: â€œI donâ€™t think abolishing ICE is aâ€_ https://t.co/t7L2vJiZPw,78,@CNN
-0.5423,Sun Jul 29 13:46:05 +0000 2018,0.8,0.2,0,Three new polls show bad news for Republicans ahead of the midterm elections https://t.co/xbfpqVTIp4 https://t.co/3fCfLLjM2d,79,@CNN
0.5859,Sun Jul 29 13:31:00 +0000 2018,0.84,0,0.16,"The future of Sky Bars, NECCO wafers, and Sweethearts is in limbo after NECCO, the oldest American candy company, sâ€_ https://t.co/fJ7rqeks2V",80,@CNN
-0.4404,Sun Jul 29 13:30:08 +0000 2018,0.854,0.146,0,"20 times that Trump and his allies denied he knew of the 2016 Trump Tower meeting https://t.co/7PuzZxBnBu https://t.co/QCBKHw9FnY",81,@CNN
0,Sun Jul 29 13:20:17 +0000 2018,1,0,0,Former White House communications director Anthony Scaramucci on the White House barring CNN's Kaitlan Collins fromâ€_ https://t.co/MDxTSQ66Fa,82,@CNN
-0.128,Sun Jul 29 13:16:02 +0000 2018,0.93,0.07,0,A city once known as America's foreclosure capital will become the first in the US to participate in a test of Univâ€_ https://t.co/AHaazLPWXb,83,@CNN
0.34,Sun Jul 29 13:08:58 +0000 2018,0.876,0,0.124,"â€œThereâ€™s certainly been a breach in the relationship,â€ù between President Trump and Michael Cohen says former WH comâ€_ https://t.co/OKqPkm63pA",84,@CNN
0,Sun Jul 29 13:01:06 +0000 2018,1,0,0,The Trump administration wants to roll back the Endangered Species Act. These 10 animals might not be here today wiâ€_ https://t.co/goAQn1TxuL,85,@CNN
-0.296,Sun Jul 29 12:31:00 +0000 2018,0.891,0.109,0,"No, this car wasn't split in half. It's Solo, an electric vehicle with one seat and three wheels.â€_ https://t.co/gAfqougR2R",86,@CNN
-0.802,Sun Jul 29 12:30:06 +0000 2018,0.647,0.353,0,"A police officer in Meridian, Mississippi, has been fired after using his stun gun against a handcuffed suspect durâ€_ https://t.co/C1aC5wRvqd",87,@CNN
0,Sun Jul 29 12:16:06 +0000 2018,1,0,0,"This concrete (yes, concrete) is going high-tech https://t.co/1eRf2U1jRQ https://t.co/k7YEF0mtZU",88,@CNN
-0.2263,Sun Jul 29 12:01:06 +0000 2018,0.881,0.119,0,"'Recovering addict' secretly treats a table of EMTs to breakfast, bringing them to tears https://t.co/BC0hdJ5UwM https://t.co/gEdL3p6kNV",89,@CNN
0.4019,Sun Jul 29 11:31:00 +0000 2018,0.847,0,0.153,This Florida police officer helped a homeless man shave to help him land a job at a restaurantâ€_ https://t.co/0F0chS7Lkg,90,@CNN
-0.0258,Sun Jul 29 11:30:06 +0000 2018,0.788,0.108,0.103,"Pope Francis has accepted the resignation of Cardinal Theodore McCarrick, who led the Archdiocese of Washington, afâ€_ https://t.co/AS3EW5ob7L",91,@CNN
-0.296,Sun Jul 29 11:01:06 +0000 2018,0.855,0.145,0,A zoo is accused of painting a donkey and passing it off as a zebra https://t.co/Zpvlhe1t5U https://t.co/hygAA2yL4u,92,@CNN
-0.4404,Sun Jul 29 10:46:03 +0000 2018,0.884,0.116,0,Drought woes? This tech can literally make it rain by using planes to target clouds and draw out more rain from them https://t.co/NYncHJh3Lm,93,@CNN
0.3182,Sun Jul 29 10:31:00 +0000 2018,0.892,0,0.108,This new NASA animation shows the dramatic increase of near-Earth objects. See how many asteroids and comets have câ€_ https://t.co/ppofrOsvA2,94,@CNN
-0.8137,Sun Jul 29 10:30:10 +0000 2018,0.655,0.345,0,"""She doesn't want to let go."" A mourning orca mom carried her dead baby for days through the oceanâ€_ https://t.co/phYuyIdDUR",95,@CNN
0.2263,Sun Jul 29 10:01:00 +0000 2018,0.909,0,0.091,"After years of research, scientists have confirmed that liquid water exists on Mars. This could allow humans to furâ€_ https://t.co/wVyKvovsdM",96,@CNN
0,Sun Jul 29 10:00:08 +0000 2018,1,0,0,"2018 is on pace to be the fourth hottest year on record, according to data from the National Oceanic and Atmospheriâ€_ https://t.co/LohV1RgGv1",97,@CNN
0,Sun Jul 29 09:31:02 +0000 2018,1,0,0,These are the world's largest planes (and other flying things) https://t.co/LtoidZbkgD https://t.co/bOQTo9aicy,98,@CNN
0,Sun Jul 29 09:30:04 +0000 2018,1,0,0,"Women turned out in force in Pakistan's general election this week, shoving aside often decades of patriarchy and tâ€_ https://t.co/ljgLjaFJbC",99,@CNN
0.5766,Sun Jul 29 09:10:00 +0000 2018,0.828,0,0.172,"SWEET: On Saturday, eight-year-old Brecken Simmons set up a lemonade stand in his neighborhood in order to raise moâ€_ https://t.co/L1nQeFhazr",0,@FoxNews
0.34,Sun Jul 29 09:05:15 +0000 2018,0.821,0,0.179,"On @WattersWorld, former acting ICE Director Thomas Homan discussed border security. https://t.co/PjmJ9pDCtM",1,@FoxNews
0.2023,Sun Jul 29 09:00:01 +0000 2018,0.909,0,0.091,.@PMorici1: â€œThe government has gotten out of the way and let the American people solve their own problems.â€ù https://t.co/PXDgFz28Dv,2,@FoxNews
0.4019,Sun Jul 29 08:53:00 +0000 2018,0.803,0,0.197,Homeless man applying for McDonald's job lands position with cop's help https://t.co/G1TlVdMs9x,3,@FoxNews
0,Sun Jul 29 08:45:00 +0000 2018,1,0,0,".@JudgeJeanine: ""Americans elected the outsider businessman president. Why? To borrow a phrase from the man himselfâ€_ https://t.co/Gk7pmnJpHb",4,@FoxNews
0,Sun Jul 29 08:38:00 +0000 2018,1,0,0,An American flag is displayed during a mass reenlistment held by the 1st Battalion Army Reserve Counselor Divisionâ€_ https://t.co/p2OTdrqTK2,5,@FoxNews
-0.5106,Sun Jul 29 08:30:00 +0000 2018,0.704,0.206,0.09,".@dbongino: ""[@BarackObama is] one of the top five worst economic presidents  in American history."" @JudgeJeanine https://t.co/W7AwRfB5mF",6,@FoxNews
-0.7096,Sun Jul 29 08:23:00 +0000 2018,0.688,0.312,0,"Baby is 'all I have left,' father says after Michigan motel fire kills 6 family members https://t.co/LNFw4ykRvV",7,@FoxNews
0.2755,Sun Jul 29 08:15:00 +0000 2018,0.869,0,0.131,".@ChristopherHahn: ""[President @realDonaldTrump] didn't inherit a mess. The economy has been on an upward trajectorâ€_ https://t.co/Ag5Am3FlGC",8,@FoxNews
0.6808,Sun Jul 29 08:07:00 +0000 2018,0.699,0,0.301,"On @foxandfriends, GOP Senate hopeful @JohnJamesMI discussed his endorsement from President @realDonaldTrump and hiâ€_ https://t.co/ixQFmjMgG5",9,@FoxNews
0.34,Sun Jul 29 08:00:00 +0000 2018,0.671,0.122,0.207,".@Reince: â€œThe fundamentals of the Trump economy, that alone is a winning message.â€ù https://t.co/Mf1MItOBwF",10,@FoxNews
0.9158,Sun Jul 29 07:53:00 +0000 2018,0.539,0,0.461,PARACHUTE PARTY: A Seattle daredevil celebrated his 100th birthday the best way he knew how â€” by jumping from a plaâ€_ https://t.co/LnDyXo7eO7,11,@FoxNews
0.7269,Sun Jul 29 07:45:00 +0000 2018,0.757,0,0.243,".@hogangidley45: ""I've talked to some folks who served and their surviving loved ones and they told me this gives tâ€_ https://t.co/ekHCIJEEYT",12,@FoxNews
0,Sun Jul 29 07:38:00 +0000 2018,1,0,0,"An airplane passes in front of a nearly full moon above Tacoma, Wash. Thursday, July 26, 2018. https://t.co/HxOFc1CLLQ",13,@FoxNews
-0.1695,Sun Jul 29 07:30:00 +0000 2018,0.915,0.085,0,".@RepDeSantis on Rod Rosenstein: ""This has just not been adequate cooperation with the Congress. These are very impâ€_ https://t.co/86AZq6m4ub",14,@FoxNews
0,Sun Jul 29 07:23:00 +0000 2018,1,0,0,"Toddler's birthday at beach results in bacterial infections, mom says https://t.co/04ayBXtHOL",15,@FoxNews
0.2263,Sun Jul 29 07:15:00 +0000 2018,0.837,0.062,0.101,".@hogangidley45: ""This president has gone on the global stage and said other countries now have to pay their fair sâ€_ https://t.co/qPvywYNlIG",16,@FoxNews
0.2023,Sun Jul 29 07:08:00 +0000 2018,0.909,0,0.091,"On @foxandfriends, former @WhiteHouse chief of staff @Reince Priebus talked about the GOP's chances in the 2018 midâ€_ https://t.co/75vZkEq1Zu",17,@FoxNews
-0.296,Sun Jul 29 07:00:00 +0000 2018,0.916,0.084,0,"T.J. Rodgers: ""Guess what? You know, the guy came in. He said we have to lower taxes. We have to do this and that.â€_ https://t.co/5SQnzgU7ec",18,@FoxNews
0.8143,Sun Jul 29 06:53:00 +0000 2018,0.708,0,0.292,"ADORABLE: One man snapped this sweet shot of two lovebirds riding the New York subway, tweeting  â€œIf anyone recogniâ€_ https://t.co/LW8at4aogn",19,@FoxNews
-0.7698,Sun Jul 29 06:45:00 +0000 2018,0.661,0.339,0,Veterans Advocate on Return of Korean War Remains: 'I Couldn't Be More Proud' https://t.co/3mPxwhB9MC https://t.co/fIhOgW9kjw,20,@FoxNews
0.5267,Sun Jul 29 06:38:00 +0000 2018,0.673,0,0.327,Sanctuary cities ruling a setback for Justice Department https://t.co/0vfW2RRQef,21,@FoxNews
0.7269,Sun Jul 29 06:30:00 +0000 2018,0.711,0,0.289,".@DarrellIssa: ""We take for granted that @POTUS was going to make America great again financially."" #Cavuto https://t.co/X0TbijaZ7X",22,@FoxNews
0,Sun Jul 29 06:23:00 +0000 2018,1,0,0,"On ""Justice,"" @JudgeJeanine commented on President @realDonaldTrump's impact on the economy. https://t.co/cdGupfgJnL",23,@FoxNews
0.5859,Sun Jul 29 06:15:00 +0000 2018,0.817,0,0.183,".@RepTedYoho: ""It's amazing how many people are behind this president, including myself. He puts America first andâ€_ https://t.co/nfdglWZUcw",24,@FoxNews
0.6597,Sun Jul 29 06:07:00 +0000 2018,0.597,0,0.403,VIDEO: Neil Diamond performs 'Sweet Caroline' for Colorado firefighters https://t.co/ANAZqO269t,25,@FoxNews
0.3818,Sun Jul 29 06:00:01 +0000 2018,0.88,0,0.12,".@mercedesschlapp: ""We are in a historic moment in terms of our economic growth. I mean, this is the first time inâ€_ https://t.co/HzFCM6DBrW",26,@FoxNews
0,Sun Jul 29 05:53:00 +0000 2018,1,0,0,.@dallascowboys quarterback @dak Prescott weighed in on the national anthem controversy surrounding the @NFL.â€_ https://t.co/M3Wf966ybc,27,@FoxNews
0.5994,Sun Jul 29 05:45:00 +0000 2018,0.52,0.127,0.353,Joe Peters: â€œLaw enforcement has no better friend than President Trump.â€ù https://t.co/SiHdL4bksD,28,@FoxNews
0.3818,Sun Jul 29 05:38:00 +0000 2018,0.822,0,0.178,Mama duck with 76 ducklings on Minnesota lake captured in stunning photos https://t.co/b89OE9G7eO,29,@FoxNews
-0.2263,Sun Jul 29 05:30:00 +0000 2018,0.905,0.095,0,".@hogangidley45 on @POTUS' speech to steelworkers: ""I watched the tears stream down the faces of grown men...who toâ€_ https://t.co/fTZuemXCdj",30,@FoxNews
0,Sun Jul 29 05:23:00 +0000 2018,1,0,0,"A complete lunar eclipse can be seen in the sky over Marseille, France. This complete lunar eclipse is the longestâ€_ https://t.co/kTWCN2QTYx",31,@FoxNews
0.6666,Sun Jul 29 05:15:00 +0000 2018,0.757,0,0.243,"Thomas Homan: ""There's been nobody that has done more for border security and public safety than President Trump.""â€_ https://t.co/Hbi1Uazv26",32,@FoxNews
0.3549,Sun Jul 29 05:08:00 +0000 2018,0.784,0.076,0.14,The gang just as vicious as MS-13 but without the notoriety: Savage Trinitarios return to the spotlight after yearsâ€_ https://t.co/EEEuRSFubt,33,@FoxNews
0,Sun Jul 29 05:00:00 +0000 2018,1,0,0,.@mercedesschlapp: â€œFormer presidents have tried to bring these remains back and they have failed.â€ù https://t.co/0RlLLbLuL4,34,@FoxNews
-0.8658,Sun Jul 29 04:55:00 +0000 2018,0.607,0.393,0,"'My babies are dead': Mom, family mourn for 2 kids, great-grandmother killed by Carr Fire in Northern California https://t.co/BCQRVdbfWg",35,@FoxNews
0,Sun Jul 29 04:47:17 +0000 2018,1,0,0,"Drug dog Sombra has already sniffed her way to high-profile drug busts, finding stashes hidden in suitcases, boatsâ€_ https://t.co/TChAj7pcqN",36,@FoxNews
0.6908,Sun Jul 29 04:45:00 +0000 2018,0.769,0,0.231,"â€œIt gives you faith in humanity a little bit that there are good kids out there."" Some Colorado kids took a breakâ€_ https://t.co/U7Xysxegvo",37,@FoxNews
0,Sun Jul 29 04:38:00 +0000 2018,1,0,0,"On @foxandfriendsâ€‹, @dbonginoâ€‹ outlined some ""new rules"" for how we should talk about the economy now thatâ€_ https://t.co/F1nFzvEVhX",38,@FoxNews
0,Sun Jul 29 04:30:00 +0000 2018,1,0,0,".@dbongino: ""We don't owe you a dime more, Captain Federal Government, not a dime."" https://t.co/OxfDfq1VwF",39,@FoxNews
0,Sun Jul 29 04:23:00 +0000 2018,1,0,0,"Indonesia earthquake results in multiple deaths, injuries https://t.co/zyHpTqezZL",40,@FoxNews
-0.4522,Sun Jul 29 04:15:00 +0000 2018,0.844,0.156,0,".@charliekirk11: ""If socialist professors really believe the nonsense that they, you know, profess, why don't theyâ€_ https://t.co/fRxkUes9PS",41,@FoxNews
-0.6808,Sun Jul 29 04:08:00 +0000 2018,0.633,0.26,0.107,Korean War veterans salute as a member of an honor guard presents the American flag at the Korean War memorial at Bâ€_ https://t.co/MYIML7GMEg,42,@FoxNews
0.6808,Sun Jul 29 04:01:00 +0000 2018,0.781,0,0.219,UPDATE: A homeless man in Florida who was trying to get a job has been hired by @McDonalds - thanks to the help ofâ€_ https://t.co/fncN2DW6BC,43,@FoxNews
-0.4215,Sun Jul 29 03:54:25 +0000 2018,0.385,0.357,0.258,Boy battling cancer granted wish to be firefighter for a day https://t.co/7WQRL5YcBR,44,@FoxNews
0,Sun Jul 29 03:41:57 +0000 2018,1,0,0,"Rep. John Lewis hospitalized, under 'routine observation' https://t.co/sP9hRyMREF",45,@FoxNews
-0.25,Sun Jul 29 03:29:26 +0000 2018,0.9,0.1,0,Families with young children protest the separation of immigrant families with a sit-in at the Hart Senate Office Bâ€_ https://t.co/1z40W9TSrB,46,@FoxNews
0,Sun Jul 29 03:26:37 +0000 2018,1,0,0,".@JudgeJeanine: ""Americans elected the outsider businessman president. Why? To borrow a phrase from the man himselfâ€_ https://t.co/nNEIAUn1BJ",47,@FoxNews
-0.3182,Sun Jul 29 03:25:59 +0000 2018,0.813,0.187,0,"Judge indicates Stormy Daniels' lawyer, Avenatti, unlikely to be gagged https://t.co/Y7KRPzMlsA",48,@FoxNews
0,Sun Jul 29 03:12:59 +0000 2018,1,0,0,"Duck boat capsized amid fast-changing conditions on Missouri lake, NTSB says https://t.co/nqXeVxFGpm",49,@FoxNews
0.5423,Sun Jul 29 02:54:46 +0000 2018,0.821,0,0.179,".@POTUS will posthumously award the #MedalofHonor to Tech Sgt. John Chapman, the @WhiteHouse announced Friday. Sgt.â€_ https://t.co/A3q4m3ODm9",50,@FoxNews
-0.1027,Sun Jul 29 02:45:26 +0000 2018,0.915,0.085,0,San Francisco train conductor reportedly warns riders to watch 'for needles' amid 'needle litter' epidemic. https://t.co/njhZ7OfitZ,51,@FoxNews
-0.6705,Sun Jul 29 02:36:30 +0000 2018,0.667,0.333,0,Officers killed in the line of duty in 2018 https://t.co/NpTaRDRbVM,52,@FoxNews
0,Sun Jul 29 02:26:04 +0000 2018,1,0,0,"Mueller, Trump Jr. photographed waiting in same DC airport terminal https://t.co/m4lL2RuG9Y",53,@FoxNews
-0.5994,Sun Jul 29 02:17:35 +0000 2018,0.782,0.218,0,"OPINION: @AndyPuzder: China started the trade war, Trump is just trying to end it https://t.co/20kdeqXQkR",54,@FoxNews
0.6486,Sun Jul 29 02:09:33 +0000 2018,0.654,0,0.346,Obama administration approved $200G grant to group with Al Qaeda ties https://t.co/BTXVxibbBT,55,@FoxNews
-0.3182,Sun Jul 29 01:57:45 +0000 2018,0.839,0.161,0,"Lawmakers struggle to decode Trump's 'secret' to deal with Russia, North Korea https://t.co/B16umXIepR",56,@FoxNews
-0.2263,Sun Jul 29 01:43:03 +0000 2018,0.905,0.095,0,".@hogangidley45 on @POTUS' speech to steelworkers: ""I watched the tears stream down the faces of grown men...who toâ€_ https://t.co/YhtjzvJox0",57,@FoxNews
0.624,Sun Jul 29 01:35:00 +0000 2018,0.843,0,0.157,"â€œMy wife and I are deeply moved and deeply honored to be able to be there when we bring our boys home.â€ùSUNDAY:â€_ https://t.co/hi08AwXlUT",58,@FoxNews
-0.34,Sun Jul 29 01:28:13 +0000 2018,0.789,0.211,0,Giuliani says experts think 'someone messed' with Cohen tape https://t.co/kqYzzUV1g8,59,@FoxNews
-0.4019,Sun Jul 29 01:13:19 +0000 2018,0.803,0.197,0,"Florida police officer dies after being injured in shooting, police say https://t.co/IrqEDu5OVm",60,@FoxNews
-0.6858,Sun Jul 29 00:59:59 +0000 2018,0.575,0.425,0,"Superintendent accused of public defecation resigns, but continues to fight allegations https://t.co/8mkugNyBzk",61,@FoxNews
-0.7698,Sun Jul 29 00:54:00 +0000 2018,0.661,0.339,0,Veterans Advocate on Return of Korean War Remains: 'I Couldn't Be More Proud' https://t.co/3mPxwhjyo2 https://t.co/P7jSEALYuH,62,@FoxNews
0.4019,Sun Jul 29 00:49:25 +0000 2018,0.803,0,0.197,Homeless man applying for McDonald's job lands position with cop's help https://t.co/G1TlVduRhZ,63,@FoxNews
0.7184,Sun Jul 29 00:40:33 +0000 2018,0.6,0,0.4,Strong economic numbers give Republicans a much-needed boost ahead of midterms https://t.co/w8wdMMjUNp,64,@FoxNews
0,Sun Jul 29 00:37:18 +0000 2018,1,0,0,"Two Massachusetts police officers shot while investigating 'disturbance,' authorities say https://t.co/XNJ7Gr2UKa",65,@FoxNews
0.6666,Sun Jul 29 00:32:12 +0000 2018,0.757,0,0.243,"Thomas Homan: ""There's been nobody that has done more for border security and public safety than President Trump.""â€_ https://t.co/sfHazO8kMr",66,@FoxNews
0,Sun Jul 29 00:27:23 +0000 2018,1,0,0,Boy with deformed legs undergoes life-changing surgery at Tebow CURE Hospital https://t.co/uVBbJFPemZ,67,@FoxNews
0.1139,Sun Jul 29 00:24:00 +0000 2018,0.907,0,0.093,"SUNDAY: Don't miss Rudy Giuliani, President @realDonaldTrump's attorney, on @FoxNewsSunday. Check your local listinâ€_ https://t.co/kJoiJFypkQ",68,@FoxNews
-0.4522,Sun Jul 29 00:21:30 +0000 2018,0.844,0.156,0,".@charliekirk11: ""If socialist professors really believe the nonsense that they, you know, profess, why don't theyâ€_ https://t.co/BLLAQCiQJ2",69,@FoxNews
