Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,User
0,Mon Jul 30 18:35:28 +0000 2018,1,0,0,"Trump on NATO meeting: ""I went to NATO, NATO was essentially going out of business because people were not paying aâ€_ https://t.co/gh9ZhmDqVE",29,@CBSNews
-0.6939,Mon Jul 30 18:27:28 +0000 2018,0.736,0.264,0,Despite President Trump repeating threat to shutdown government if $25B isn't approved for border wall and Congressâ€_ https://t.co/usHH0N9FRv,30,@CBSNews
0,Mon Jul 30 18:17:52 +0000 2018,1,0,0,"President Trump on government shutdown: ""As far as the border is concerned and personally, if we do not get borderâ€_ https://t.co/jQjgebSHCU",31,@CBSNews
0.8555,Mon Jul 30 18:15:08 +0000 2018,0.63,0,0.37,"""The prime minister and I are united in our conviction that strong nations must have a strong borders,"" President Tâ€_ https://t.co/7Pxx4Ww2H7",32,@CBSNews
0,Mon Jul 30 18:09:38 +0000 2018,1,0,0,WATCH NOW: President Trump holds joint news conference with Italian Prime Minister Giuseppe Conteâ€_ https://t.co/h0iLqiXjbR,33,@CBSNews
-0.6705,Mon Jul 30 18:00:38 +0000 2018,0.791,0.209,0,Norwegian authorities defended the actions of guards from a German cruise ship that killed a polar bear that attackâ€_ https://t.co/EF9HTiPTmV,34,@CBSNews
-0.7351,Mon Jul 30 17:44:47 +0000 2018,0.64,0.36,0,"Battalion chief on California evacuation warnings, ""new normal"" of destructive wildfires https://t.co/ur1X5GEoH0 https://t.co/FVL8bA3HG0",35,@CBSNews
0,Mon Jul 30 17:30:35 +0000 2018,0.657,0.197,0.146,"Tyson Foods is cutting its profit forecast, citing higher tariffs and uncertainty about trade policiesâ€_ https://t.co/vNdz4a7lZa",36,@CBSNews
0,Mon Jul 30 17:14:44 +0000 2018,1,0,0,Thousands more fled their homes after wildfires surged near a small lake town in Northern Californiaâ€_ https://t.co/h1b6w0OULw,37,@CBSNews
-0.7269,Mon Jul 30 17:02:36 +0000 2018,0.705,0.295,0,"""Sinking coffins"": New lawsuit seeks $100 million in damages on behalf of duck boat victims, alleging the owners anâ€_ https://t.co/4H13N3Dzgr",38,@CBSNews
0.1197,Mon Jul 30 16:45:15 +0000 2018,0.699,0.141,0.159,"SHARK WEAK: Fisherman catches a great white shark less than a mile off the Rhode Island coast, then films it thrashâ€_ https://t.co/FPq4u9trCT",39,@CBSNews
